Jay Lin,1971016,2066175196,youngjay@uw.edu,WA,3079,3052
Braden Richardson,1292256,7137535856,brayda2000@uw.edu,TX
Arran Rios,1292254,3522051840,arryda1997@uw.edu,FL
Jenna O'Gallagher,2331162,3105968670,jenyda1997@uw.edu,CA
Stephanie Wolfe,2333142,8649368839,steyda1997@uw.edu,SC
Edgar Daniel,1223334,4153160998,daniel2000@uw.edu,CA
Saira Tucker,1229911,2063188605,saiyda1997@uw.edu,WA,1000
Wasim Gilmour,1275611,3207493366,wasyda1997@uw.edu,MN,3052
Jayda Mccall,2333234,4792397186,jayyda1997@uw.edu,AR,3052
Umar Logan,2554422,3607193210,umayda1997@uw.edu,WA
Roseanna Brown,1275612,2527995472,rosyda1997@uw.edu,NC
Kobe Bryant,2551313,2222456292,kobe@uw.edu,CA,3079,3052
